4016498,08/01/2018,101,NUEVO IMPERIAL,1,CASA,0,P9500,BT5,0021,-13.01593470,-76.34084615,RVS,INF101,Cañete,14/03/2017,08/01/2018,09/01/2018,10,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,31,29,31,30,30,32,29,30,33,29,30,32,30,31,29,29,33,30,29,32,30,30,32,30,125,104,114,96,122,121.6,112.4,121.3,127.8,126.6,120.1,124,109.7,106.1,81.4,58.1,77.6,66.7,70.2,78.1,75,70,81.1,63.9
1396656,08/01/2018,01,LIMA CERCADO,57,LOCALES COMERCIALES CON MAS DE DOS RUBROS,1,G5270,BT5,0021,-12.05752345,-77.02650306,RVS,INF101,La República,07/04/2017,08/01/2018,09/01/2018,9,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,33,29,29,30,32,30,29,32,31,31,30,30,32,29,29,29,33,30,31,30,30,32,30,32,657.2,579.7,623.3,550.6,603.9,553.5,563.8,605.9,572.2,580,564.9,598.6,647.9,513.6,630.4,581.6,320.8,288.6,243.4,261,569.2,2.1,282.1,353.6
1377553,08/01/2018,13,LA VICTORIA,57,LOCALES COMERCIALES CON MAS DE DOS RUBROS,1,G5270,BT5,0021,-12.06471817,-77.01163203,RVS,INF101,La República,21/07/2017,08/01/2018,09/01/2018,6,*,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,31,31,29,30,32,30,29,32,31,29,33,29,32,29,29,31,31,30,29,32,30,32,30,29,137,282.7,114.4,112.2,156.9,154.8,147.7,164,145,152.2,151.3,99.6,96.9,132,139,126.1,153.9,120,135.5,99.5,96,98.1,90.9,85
369684,08/01/2018,35,VILLA MARIA DEL TRIUNFO,1,CASA,0,P9500,BT5,0021,-12.16380200,-76.94343228,RVS,INF101,San Juan,21/08/2017,08/01/2018,09/01/2018,5,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,31,29,31,30,30,32,29,30,33,29,33,29,30,31,29,31,31,30,29,32,30,30,32,29,690.8,570.2,690.1,611.2,557.2,535.9,520.2,486,545.2,452.9,561.8,531.7,548.8,564,660.9,582.9,565.3,481.3,484.3,523.1,137.2,10.6,1.6,2.2
1527868,08/01/2018,15,LURIGANCHO-CHOSICA,30,FABRICA TEXTIL,2,D1712,BT4,0031,-12.01995928,-76.92962653,RVS,INF101,Santa Anita,26/12/2017,08/01/2018,09/01/2018,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,*,N,N,N,31,29,31,30,30,32,29,30,33,29,30,32,30,31,29,29,33,30,29,32,30,30,32,30,0,0,0,0,0,29,38,36,1,0,0,0,0,0,0,0,0,663,1710,4793,1181,18419,10517,7344
472141,09/01/2018,35,VILLA MARIA DEL TRIUNFO,1,CASA,0,P9500,BT5,0021,-12.15889725,-76.94406002,RVS,INF101,San Juan,20/09/2017,09/01/2018,10/01/2018,4,*,N,*,N,N,N,*,N,*,*,*,*,*,*,U,N,N,N,N,N,N,N,N,N,31,29,31,30,30,32,29,30,33,29,33,29,30,31,29,31,31,30,29,32,30,30,32,29,354,785.2,368,832.3,326.3,330.4,360,512,363,319,363,319,330,341,0,2624.3,374.3,243,289,312.9,266.1,169.3,167.9,191.3
535765,09/01/2018,29,SAN JUAN DE MIRAFLORES,1,CASA,0,P9500,BT5,0021,-12.16484540,-76.96076752,RVS,INF101,San Juan,03/07/2017,09/01/2018,10/01/2018,6,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,32,31,29,30,32,30,29,32,31,29,32,29,33,29,29,29,33,30,29,32,30,32,30,29,212.6,222.3,178.2,166.3,166.3,153,138.3,168.9,367.9,599.4,487.6,211,217.9,485.9,534.1,82.3,125.4,121.8,119.8,141.4,149.8,145.7,142,116.2
847619,09/01/2018,10,EL AGUSTINO,1,CASA,0,P9500,BT5,0021,-12.04499113,-76.98792373,RVS,INF101,Santa Anita,09/01/2017,09/01/2018,10/01/2018,12,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,29,29,30,32,30,29,32,31,31,30,29,33,29,29,30,32,30,31,30,30,32,30,29,33,44.7,44,53.1,59.6,23.6,52.9,76.5,80.9,96,89.3,60,11.9,6.4,0,0.1,0,0,0,0,0,0,0,0,0
556952,09/01/2018,29,SAN JUAN DE MIRAFLORES,1,CASA,0,P9500,BT5,0021,-12.16434041,-76.96803105,RVS,INF101,San Juan,07/12/2017,09/01/2018,10/01/2018,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,32,31,29,30,32,30,29,32,31,29,32,29,33,29,29,29,33,30,29,32,30,32,30,29,288.6,167.2,366.6,174.6,181.2,227.8,552.8,622.2,282.9,226.8,161.9,260.1,216.3,233.7,225.4,99.4,184.5,273.6,18.1,197.1,316.6,168.2,171.8,433.8
1496581,09/01/2018,03,ATE-VITARTE,1,CASA,0,P9500,BT5,0021,-12.01758588,-76.90138389,RVS,INF101,Santa Anita,16/06/2017,09/01/2018,10/01/2018,7,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,U,N,N,N,N,N,33,29,29,30,32,30,29,32,31,31,29,31,32,29,29,33,29,30,31,30,30,32,30,30,359.3,335.1,308.8,365,496.3,397.5,409.2,406,480.9,734.1,756.7,920.6,866.4,833.3,778.3,937.6,776,758.2,0,459,0,0,0,0
756820,09/01/2018,03,ATE-VITARTE,1,CASA,0,P9500,BT5,0021,-12.02405528,-76.91157390,RVS,INF101,Santa Anita,15/11/2017,09/01/2018,10/01/2018,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,31,31,29,30,32,30,29,32,31,29,31,31,32,29,29,33,29,30,29,32,30,32,30,30,984.4,1120,1030,874.2,1000.4,882.7,810.9,741.3,782.4,793.7,827.5,940.4,961.2,1006.5,1172.4,1304.5,942.3,843.3,827.3,911.1,914.4,969.2,1006.7,550
1331197,08/01/2018,09,CHORRILLOS,29,FABRICA PLASTICO,2,D2413,BT3,0082,-12.19391634,-76.99093205,RVS,INF101,Chorrillos,25/12/2017,10/01/2018,10/01/2018,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,31,31,29,31,30,31,30,31,31,30,31,30,31,31,28,31,30,31,30,31,31,30,31,30,14000.4,4761.6,21196.2,26386.2,21882.6,25842.6,14821.2,6693,1582.8,2775,548.4,1566,823.2,2433.6,1315.2,2241,1839.6,2316,685.2,1890.6,704.4,1114.2,3187.2,4389.6
712911,10/01/2018,33,SANTIAGO DE SURCO,7,BODEGAS,1,G5211,BT5,0021,-12.11871071,-76.98873128,RVS,INF101,Chacarilla,15/03/2017,10/01/2018,11/01/2018,10,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,31,31,29,30,32,30,29,32,31,29,31,31,32,29,29,33,29,30,29,32,30,32,30,30,412.8,591.9,717.8,730.3,661,423.5,295.7,301.4,331.6,341.5,365.7,447.5,522.7,721.3,453.4,297,196.9,142.8,137.2,151,148.7,164.7,157.1,205.6
566616,10/01/2018,33,SANTIAGO DE SURCO,1,CASA,0,P9500,BT5,0021,-12.14099297,-76.99728160,RVS,INF101,Chorrillos,10/01/2017,10/01/2018,11/01/2018,12,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,31,29,30,32,30,29,32,31,29,32,29,33,29,29,29,33,30,29,32,30,32,30,29,33,694,738,844,937,753,722,452,308,132,130,88,80,52,43,40,71,104,100,95,109,115,90,95,90
882933,11/01/2018,33,SANTIAGO DE SURCO,34,TALLERES VARIOS,1,G5020,BT5,0021,-12.19288227,-76.98204114,RVS,INF101,Chorrillos,12/05/2017,11/01/2018,12/01/2018,8,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,31,29,31,30,30,32,29,30,33,29,33,29,30,31,29,31,31,30,29,32,30,30,32,29,643.5,542.4,607.6,549.2,533.8,492,592,672.3,552.7,466.2,541.8,494.7,475.3,386.7,495.3,228.7,0,0,93.4,323.9,351,296.8,291.8,274.6
1236646,11/01/2018,13,LA VICTORIA,35,ALMACEN,7,I6302,BT5,0021,-12.06276473,-77.01400045,RVS,INF101,La República,11/01/2017,11/01/2018,12/01/2018,12,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,33,29,29,32,30,32,29,30,33,29,33,29,30,29,31,31,29,32,29,30,32,30,32,29,301,356,392,408,363,391,394,371,364,341,388,347,0,0,0,0,0,0,0,0,0,0,0,0
1817453,11/01/2018,03,ATE-VITARTE,34,TALLERES VARIOS,1,G5020,BT5,0021,-12.00971961,-76.86734742,RVS,INF101,Santa Anita,17/08/2017,11/01/2018,12/01/2018,5,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,29,29,32,30,30,31,30,33,29,29,33,30,29,29,33,29,32,29,30,32,30,30,31,,887.4,1286,1624.3,1511.7,2042.7,2156.7,1534.5,1618.6,1171.1,1177.3,1444.7,1025.4,1015.3,1091,1391.3,1143.4,1378,968.7,1027.9,698.9,686.6,677,685.5
963952,11/01/2018,35,VILLA MARIA DEL TRIUNFO,1,CASA,0,P9500,BT5,0021,-12.21461750,-76.90806963,RVS,INF101,San Juan,11/01/2017,11/01/2018,12/01/2018,12,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,29,29,33,28,30,30,29,32,33,29,31,31,30,29,29,32,30,32,29,30,32,30,30,32,397.4,437.3,452,347.8,392.6,453.4,409.7,441.3,254.6,216.5,243.4,222.3,227.8,170.9,166.8,145.9,137.1,125.6,153,168.7,221.4,224.7,221.5,193.7
797283,11/01/2018,09,CHORRILLOS,38,CENTRO DE SALUD,7,N8512,BT5,0021,-12.18442838,-76.99752323,RVS,INF101,Chorrillos,17/05/2017,11/01/2018,12/01/2018,8,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,33,29,29,30,32,30,29,32,31,31,29,31,32,29,29,33,29,30,31,30,30,32,30,30,986.4,1020.3,1276.5,1237.9,1095,864.7,797.3,890.5,845.7,820.9,932.3,1047.2,1166,1174.5,1247.4,1332.8,1165.6,547.9,526.4,560.7,548.7,570.1,572.2,547.6
14290,11/01/2018,35,VILLA MARIA DEL TRIUNFO,1,CASA,0,P9500,BT5,0021,-12.21294375,-76.90795096,RVS,INF101,San Juan,24/03/2017,11/01/2018,12/01/2018,10,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,29,29,33,28,30,30,29,32,33,29,31,31,30,29,29,32,30,32,29,30,32,30,30,32,509.1,553.4,574.6,446.8,592.8,526.4,401.9,425,439.6,428.4,637.9,683.1,854.6,810.4,614.3,323.8,288.4,260,273.7,286.4,227.2,271.2,336.2,339.1
641262,11/01/2018,35,VILLA MARIA DEL TRIUNFO,1,CASA,0,P9500,BT5,0021,-12.17541136,-76.95032629,RVS,INF101,San Juan,14/03/2017,11/01/2018,12/01/2018,10,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,31,29,31,30,30,32,29,30,33,29,30,32,30,31,29,29,33,30,29,32,30,30,32,30,698.1,751.2,788.3,728.3,665.2,675.7,621.3,641.7,676.4,606.9,643.7,740.4,766.7,875,710.6,513.6,460.3,432.8,382,439.6,416.2,402.3,437.2,425
641176,11/01/2018,35,VILLA MARIA DEL TRIUNFO,7,BODEGAS,1,G5211,BT5,0021,-12.17653852,-76.94813878,RVS,INF101,San Juan,07/07/2017,11/01/2018,12/01/2018,6,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,31,29,31,30,30,32,29,30,33,29,30,32,30,31,29,29,33,30,29,32,30,30,32,30,580.3,567.3,635.4,595.6,529.6,542.6,511.7,491.9,531.1,435.3,427.9,494.8,507.6,581.5,593.2,298.5,274.5,274.4,261.8,255.2,240.5,262.9,255.9,239.9
