1472736,28/09/2018,15,LURIGANCHO-CHOSICA,1,CASA,0,P9500,BT5,0021,-11.93507661,-76.71501788,,,Chosica,,,28/09/2018,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,*,29,29,55,8,29,29,33,29,32,29,30,32,30,30,31,31,29,28,33,29,32,29,31,32,0,0,0,78.8,193.3,165.2,217.3,180.5,187.6,151.5,125.8,172.6,173.2,181.5,182.4,190.3,176,184.9,232.1,201.1,203.9,184.2,190.8,211
671364,28/09/2018,15,LURIGANCHO-CHOSICA,1,CASA,0,P9500,BT5,0021,-11.93550499,-76.70188970,,,Chosica,,,28/09/2018,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,29,33,29,30,29,31,31,29,32,29,30,32,30,32,29,31,31,28,31,29,32,29,33,30,110,127.1,113.7,174.4,137.5,125.5,119.1,103.9,106.5,103.3,98.8,96.4,165,294.9,261.8,274.2,281,220,240.6,234.8,247,241.3,245.9,210.3
687984,28/09/2018,15,LURIGANCHO-CHOSICA,1,CASA,0,P9500,BT5,0021,-11.93793170,-76.69164967,,,Chosica,,,28/09/2018,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,29,33,29,32,29,29,31,31,30,29,32,30,32,30,29,33,29,28,33,29,30,29,33,30,190.4,113.4,114.6,199.1,205,200.2,106.4,0.3,229.1,230.7,237.4,231.6,144.5,310.3,202.2,122.5,200.1,202.8,216.1,155.6,114.4,106.6,118.5,111.8
1080444,03/10/2018,15,LURIGANCHO-CHOSICA,1,CASA,0,P9500,BT5,0021,-11.91903381,-76.67315254,,,Chosica,,,03/10/2018,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,31,31,29,32,29,29,32,30,30,31,30,30,32,30,29,33,29,28,33,29,30,31,31,32,297.7,325.8,241.5,157.3,152.3,138.3,179.5,171.8,167.7,178.3,164,187.9,270.6,383,359,402.9,201.1,134,158,123,159,109,120.1,134.9
831515,03/10/2018,01,LIMA CERCADO,1,CASA,0,P9500,BT5,0021,-12.07578056,-77.03105963,,,La República,,,03/10/2018,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,29,32,29,33,29,29,29,33,30,29,32,30,32,30,29,33,29,28,30,32,30,29,33,30,413.2,244.6,198.8,176.8,147.8,171,168.7,160.7,137.8,152,265.9,267.4,281.4,245.3,322.8,417.3,404.8,411.5,380.3,360.1,329.7,343.8,376.7,316.8
51612,03/10/2018,13,LA VICTORIA,1,CASA,0,P9500,BT5,0021,-12.07255489,-77.02869433,,,La República,,,03/10/2018,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,29,30,32,30,31,29,29,33,30,29,32,30,30,32,30,32,29,28,30,32,30,29,33,30,0,0.1,0,0,0,0,0.1,0.1,0,0,0,0,0,17,68.4,62.4,54.5,51.6,54.4,42,49.3,48.3,52.1,43.5
129049,03/10/2018,13,LA VICTORIA,1,CASA,0,P9500,BT5,0021,-12.06874831,-77.00980975,,,La República,,,03/10/2018,0,N,N,N,N,N,U,*,N,N,N,N,N,N,U,U,U,U,U,U,U,U,U,U,U,29,33,29,30,31,29,31,31,30,29,32,30,30,32,29,33,29,28,31,31,30,29,33,30,0,0,0,0,0,0,0,28.2,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189901,03/10/2018,18,MIRAFLORES,1,CASA,0,P9500,BT5,0021,-12.11641298,-77.03564216,,,Miraflores,,,03/10/2018,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,29,30,29,33,29,29,31,31,32,29,30,32,30,30,31,31,29,28,32,30,32,29,31,32,73.4,66.3,64.8,82.1,82,86.6,84,72.9,68,104.9,134.1,143.4,142,155.5,151.5,150.3,126.6,135.2,131.8,108.1,105.5,147,148.2,140.6
95715,03/10/2018,18,MIRAFLORES,1,CASA,0,P9500,BT5,0021,-12.12777377,-77.03001105,,,Miraflores,,,03/10/2018,0,N,N,N,N,N,N,N,N,N,N,N,*,N,N,N,N,*,N,N,N,N,*,*,N,29,30,32,30,29,29,31,31,32,29,30,32,30,30,32,30,29,28,32,30,32,29,31,32,113.8,129.2,142.7,123.9,109.2,127.8,118.1,107.6,126.2,227.2,235.8,166,496.7,189.3,199,161.4,202,303.6,200.6,197.1,211.6,172,184,635.2
1208200,03/10/2018,34,SURQUILLO,1,CASA,0,P9500,BT5,0021,-12.11563395,-77.02417651,,,Miraflores,,,03/10/2018,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,29,31,31,30,29,29,32,30,32,29,30,32,30,30,32,30,29,28,33,29,47,14,31,32,265.4,294.1,300,297.1,322.8,328.6,359.8,294,319.6,299.8,329.4,300.7,374.1,377.3,403.9,403.5,418.2,403.3,437.8,380.2,327.6,167.3,404.7,337.8
